Destination,Airline,Flight,Departure,Terminal,Status,Arrival_time,A_day,Scheduled,S_day
Indianapolis (IND),United Airlines,UA 3421,9:55 PM,C,Landed - Delayed,12:22 AM,1,12:14 AM,1
Shannon (SNN),United Airlines,UA 25,9:55 PM,C,Landed - Delayed,9:16 AM,1,9:15 AM,1
Shannon (SNN),Air Canada,AC 5788,9:55 PM,C,Landed - Delayed,9:16 AM,1,9:15 AM,1
Shannon (SNN),Lufthansa,LH 7980,9:55 PM,C,Landed - Delayed,9:16 AM,1,9:15 AM,1
Zurich (ZRH),SWISS,LX 19,9:55 PM,B,Landed - On-time,11:25 AM,1,11:40 AM,1
Zurich (ZRH),United Airlines,UA 9747,9:55 PM,B,Landed - On-time,11:25 AM,1,11:40 AM,1
Hartford (BDL),United Airlines,UA 1574,9:57 PM,C,Landed - Delayed,12:53 AM,1,11:05 PM,
Hartford (BDL),Lufthansa,LH 8572,9:57 PM,C,Landed - Delayed,12:53 AM,1,11:05 PM,
Cleveland (CLE),ExpressJet,EV 4201,9:59 PM,A,Landed - On-time,11:29 PM,,11:42 PM,
Cleveland (CLE),Lufthansa,LH 7808,9:59 PM,A,Landed - On-time,11:29 PM,,11:42 PM,
Cleveland (CLE),United Airlines,UA 4201,9:59 PM,A,Landed - On-time,11:29 PM,,11:42 PM,
Charlotte (CLT),United Airlines,UA 318,9:59 PM,C,Landed - Delayed,12:53 AM,1,11:56 PM,
Charlotte (CLT),SAS,SK 6838,9:59 PM,C,Landed - Delayed,12:53 AM,1,11:56 PM,
Norfolk (ORF),Republic Airlines,YX 3506,9:59 PM,C,Landed - On-time,11:16 PM,,11:27 PM,
Norfolk (ORF),Air Canada,AC 3447,9:59 PM,C,Landed - On-time,11:16 PM,,11:27 PM,
Norfolk (ORF),Lufthansa,LH 7546,9:59 PM,C,Landed - On-time,11:16 PM,,11:27 PM,
Norfolk (ORF),United Airlines,UA 3506,9:59 PM,C,Landed - On-time,11:16 PM,,11:27 PM,
Portland (PWM),United Airlines,UA 637,9:59 PM,C,Landed - Delayed,1:17 AM,1,11:13 PM,
Portland (PWM),Air Canada,AC 3458,9:59 PM,C,Landed - Delayed,1:17 AM,1,11:13 PM,
Portland (PWM),Austrian,OS 7739,9:59 PM,C,Landed - Delayed,1:17 AM,1,11:13 PM,
London (LHR),United Airlines,UA 940,10:00 PM,C,Landed - Delayed,11:00 AM,1,10:10 AM,1
London (LHR),Air Canada,AC 5876,10:00 PM,C,Landed - Delayed,11:00 AM,1,10:10 AM,1
London (LHR),Lufthansa,LH 7632,10:00 PM,C,Landed - Delayed,11:00 AM,1,10:10 AM,1
London (LHR),SWISS,LX 3043,10:00 PM,C,Landed - Delayed,11:00 AM,1,10:10 AM,1
London (LHR),Austrian,OS 7794,10:00 PM,C,Landed - Delayed,11:00 AM,1,10:10 AM,1
Louisville (SDF),UPS,5X 9301,10:00 PM,,Landed - Delayed,2:56 AM,1,,
Sao Paulo (GRU),United Airlines,UA 149,10:05 PM,C,Landed - Delayed,10:06 AM,1,8:50 AM,1
Sao Paulo (GRU),Azul,AD 7005,10:05 PM,C,Landed - Delayed,10:06 AM,1,8:50 AM,1
Sao Paulo (GRU),ANA,NH 7214,10:05 PM,C,Landed - Delayed,10:06 AM,1,8:50 AM,1
Louisville (SDF),UPS,5X 1083,10:10 PM,,Landed - On-time,12:08 AM,1,,
Indianapolis (IND),FedEx,FX 1600,10:15 PM,,Landed - Delayed,12:33 AM,1,,
London (LHR),Virgin Atlantic,VS 2,10:30 PM,B,Landed - On-time,10:04 AM,1,10:35 AM,1
London (LHR),Jet Airways (India),9W 5805,10:30 PM,B,Landed - On-time,10:04 AM,1,10:35 AM,1
London (LHR),Delta Air Lines,DL 4407,10:30 PM,B,Landed - On-time,10:04 AM,1,10:35 AM,1
London (LHR),Singapore Airlines,SQ 2502,10:30 PM,B,Landed - On-time,10:04 AM,1,10:35 AM,1
Louisville (SDF),UPS,5X 1077,10:30 PM,,Landed - Delayed,1:25 AM,1,,
Cincinnati (CVG),Atlas Air,5Y 441,10:40 PM,,Landed,,,,
Indianapolis (IND),FedEx,FX 1685,10:45 PM,,Landed - Delayed,1:17 AM,1,,
Memphis (MEM),FedEx,FX 1314,10:49 PM,,Landed - Delayed,12:56 AM,1,,
Chicago (MDW),Southwest Airlines,WN 1278,10:50 PM,A,Landed - Delayed,1:25 AM,1,12:05 AM,1
Rockford (RFD),UPS,5X 1075,10:50 PM,,Landed - On-time,11:52 PM,,,
London (STN),Primera Air Scandinavia,PF 42,10:50 PM,B,Landed,,,11:00 AM,1
Tel Aviv-Yafo (TLV),United Airlines,UA 90,10:50 PM,C,Landed - On-time,4:15 PM,1,4:20 PM,1
Barcelona (BCN),Norwegian Air Shuttle,DY 7197,11:00 PM,B,Landed - Delayed,1:07 PM,1,12:15 PM,1
Memphis (MEM),FedEx,FX 1381,11:00 PM,,Landed - Delayed,2:03 AM,1,,
Louisville (SDF),UPS,5X 1081,11:00 PM,,Landed - On-time,1:21 AM,1,,
Indianapolis (IND),FedEx,FX 1621,11:18 PM,,Landed - On-time,1:22 AM,1,,
Rome (FCO),Norwegian Air Shuttle,DY 7024,11:30 PM,B,Landed - On-time,1:22 PM,1,1:40 PM,1
Athens (ATH),Emirates,EK 210,11:55 PM,B,En Route - Delayed,,,4:05 PM,1
Athens (ATH),JetBlue Airways,B6 5033,11:55 PM,B,En Route - Delayed,,,4:05 PM,1
