Destination,Airline,Flight,Departure,Terminal,Status,Arrival_time,A_day,Scheduled,S_day
Saint Louis (STL),Southwest Airlines,WN 1138,6:35 PM,A,Landed - Delayed,8:41 PM,,8:25 PM,
Denver (DEN),Southwest Airlines,WN 398,6:40 PM,A,Landed - Delayed,9:45 PM,,9:15 PM,
Tampa (TPA),United Airlines,UA 1640,6:40 PM,C,Landed - Delayed,9:50 PM,,9:40 PM,
Tampa (TPA),Lufthansa,LH 7778,6:40 PM,C,Landed - Delayed,9:50 PM,,9:40 PM,
Tampa (TPA),SAS,SK 6782,6:40 PM,C,Landed - Delayed,9:50 PM,,9:40 PM,
Tampa (TPA),TAP Portugal,TP 8566,6:40 PM,C,Landed - Delayed,9:50 PM,,9:40 PM,
Toronto (YYZ),Sky Regional,KV 7661,6:40 PM,A,Landed - Delayed,11:25 PM,,8:12 PM,
Toronto (YYZ),Air Canada,AC 7661,6:40 PM,A,Landed - Delayed,11:25 PM,,8:12 PM,
Los Angeles (LAX),United Airlines,UA 275,6:43 PM,C,Landed - Delayed,9:54 PM,,9:41 PM,
Los Angeles (LAX),Air China,CA 7359,6:43 PM,C,Landed - Delayed,9:54 PM,,9:41 PM,
Los Angeles (LAX),ANA,NH 7235,6:43 PM,C,Landed - Delayed,9:54 PM,,9:41 PM,
Los Angeles (LAX),Air New Zealand,NZ 9532,6:43 PM,C,Landed - Delayed,9:54 PM,,9:41 PM,
Los Angeles (LAX),TAP Portugal,TP 8544,6:43 PM,C,Landed - Delayed,9:54 PM,,9:41 PM,
Atlanta (ATL),Delta Air Lines,DL 2398,6:44 PM,B,Landed - Delayed,9:23 PM,,9:19 PM,
Atlanta (ATL),Gol,G3 8379,6:44 PM,B,Landed - Delayed,9:23 PM,,9:19 PM,
Atlanta (ATL),KLM,KL 6617,6:44 PM,B,Landed - Delayed,9:23 PM,,9:19 PM,
Atlanta (ATL),Virgin Atlantic,VS 4521,6:44 PM,B,Landed - Delayed,9:23 PM,,9:19 PM,
Chicago (ORD),United Airlines,UA 2015,6:52 PM,C,Landed - Delayed,10:15 PM,,8:23 PM,
Chicago (ORD),Air Canada,AC 5067,6:52 PM,C,Landed - Delayed,10:15 PM,,8:23 PM,
Chicago (ORD),Asiana Airlines,OZ 6479,6:52 PM,C,Landed - Delayed,10:15 PM,,8:23 PM,
Chicago (ORD),SAS,SK 6814,6:52 PM,C,Landed - Delayed,10:15 PM,,8:23 PM,
Chicago (ORD),TAP Portugal,TP 8482,6:52 PM,C,Landed - Delayed,10:15 PM,,8:23 PM,
Seattle (SEA),United Airlines,UA 1807,6:52 PM,C,Landed - Delayed,10:27 PM,,9:55 PM,
Seattle (SEA),SAS,SK 6810,6:52 PM,C,Landed - Delayed,10:27 PM,,9:55 PM,
Seattle (SEA),TAP Portugal,TP 8560,6:52 PM,C,Landed - Delayed,10:27 PM,,9:55 PM,
San Jose (SJC),Alaska Airlines,AS 783,6:54 PM,A,Landed - Delayed,11:02 PM,,10:17 PM,
Reykjavik (KEF),WOW Air,WW 104,6:55 PM,B,En Route - On-time,,,4:55 AM,1
Oslo (OSL),SAS,SK 908,6:55 PM,B,Landed - On-time,8:12 AM,1,8:20 AM,1
Venice (VCE),United Airlines,UA 170,6:55 PM,C,Landed - On-time,9:08 AM,1,9:05 AM,1
Venice (VCE),Air Canada,AC 5760,6:55 PM,C,Landed - On-time,9:08 AM,1,9:05 AM,1
Venice (VCE),Lufthansa,LH 7734,6:55 PM,C,Landed - On-time,9:08 AM,1,9:05 AM,1
Venice (VCE),SWISS,LX 3081,6:55 PM,C,Landed - On-time,9:08 AM,1,9:05 AM,1
Venice (VCE),Brussels Airlines,SN 9034,6:55 PM,C,Landed - On-time,9:08 AM,1,9:05 AM,1
Minneapolis (MSP),SkyWest Airlines,OO 3608,6:59 PM,B,Landed - Delayed,11:20 PM,,9:15 PM,
Minneapolis (MSP),Virgin Atlantic,VS 4477,6:59 PM,B,Landed - Delayed,11:20 PM,,9:15 PM,
Minneapolis (MSP),Delta Air Lines,DL 3608,6:59 PM,B,Landed - Delayed,11:20 PM,,9:15 PM,
London (LHR),United Airlines,UA 14,7:00 PM,C,Landed - On-time,7:08 AM,1,7:10 AM,1
London (LHR),Air Canada,AC 5254,7:00 PM,C,Landed - On-time,7:08 AM,1,7:10 AM,1
London (LHR),Lufthansa,LH 7626,7:00 PM,C,Landed - On-time,7:08 AM,1,7:10 AM,1
London (LHR),SWISS,LX 3047,7:00 PM,C,Landed - On-time,7:08 AM,1,7:10 AM,1
London (LHR),Austrian,OS 7796,7:00 PM,C,Landed - On-time,7:08 AM,1,7:10 AM,1
Miami (MIA),United Airlines,UA 424,7:00 PM,C,Landed - On-time,10:41 PM,,10:11 PM,
Miami (MIA),Lufthansa,LH 7978,7:00 PM,C,Landed - On-time,10:41 PM,,10:11 PM,
Miami (MIA),Austrian,OS 7779,7:00 PM,C,Landed - On-time,10:41 PM,,10:11 PM,
Miami (MIA),SAS,SK 6762,7:00 PM,C,Landed - On-time,10:41 PM,,10:11 PM,
Miami (MIA),TAP Portugal,TP 8549,7:00 PM,C,Landed - On-time,10:41 PM,,10:11 PM,
Paris (ORY),OpenSkies,EC 8004,7:00 PM,B,Landed - On-time,8:24 AM,1,8:40 AM,1
Paris (ORY),American Airlines,AA 6244,7:00 PM,B,Landed - On-time,8:24 AM,1,8:40 AM,1
Paris (ORY),Finnair,AY 5544,7:00 PM,B,Landed - On-time,8:24 AM,1,8:40 AM,1
Paris (ORY),British Airways,BA 8004,7:00 PM,B,Landed - On-time,8:24 AM,1,8:40 AM,1
